字,音,康熙笔画,字典笔画,笔画差,五行,音调,字意,候选
班,bān,10,10,0,水,1,温和贤能，怀才不遇，中年劳，晚年吉祥，欠子之字。,1
豹,bào,10,10,0,水,4,口快性刚，多才伶俐，中年劳，晚年吉祥，刑偶伤子，武将吉。,1
倍,bèi,10,10,0,水,4,天生聪明，福禄双收，名利有份，中年成功隆昌，出国之格。,2
病,bìng,10,10,0,水,4,不祥之字，命途多舛，困苦一生。,1
财,cái,10,7,3,金,2,忧心劳神，刑偶伤子，事劳无功，忌车怕水，中年吉祥，晚年多灾。,1
仓,cāng,10,4,6,金,1,福禄双收，清雅伶俐，晚婚吉祥，中年劳，晚年吉祥。,1
城,chéng,10,9,1,土,2,多才巧智，清雅温和，中年成功隆昌，晚年忧心劳神。,1
乘,chéng,10,10,0,金,2,刑偶伤子，忧心劳神，肯做肯劳，难得幸福，多灾难。,1
秤,chèng,10,10,0,水,4,教育界大吉，一生清雅平凡，名利双收，女人有爱情厄。,1
持,chí,10,9,1,金,2,刑偶伤子，天生聪明，清雅伶俐，中年劳，晚年吉祥。,1
耻,chǐ,10,10,0,火,3,三心两意，内心多忧，欠勇气，晚年吉祥。,1
臭,chòu,10,10,0,水,2,忧心劳神，刑偶伤子，中年多灾，晚年吉祥。,1
纯,chún,10,7,3,金,2,有爱情烦恼，忧心劳神，二子吉祥，中年成功隆昌。,1
岛,dǎo,10,7,3,火,3,天生聪明，一生清雅多才，中年或奔波劳，晚年吉祥。,1
钉,dìng,10,7,3,金,4,多刑克，性刚口快，中年困苦，命途多舛。,1
冻,dòng,10,7,3,火,2,清雅平凡，多才巧智，中年吉祥，晚年隆昌，刑偶伤子。,1
洞,dòng,10,9,1,水,2,刑偶伤子，中年奔波，多才巧智，晚年成功隆昌。,1
峨,é,10,10,0,土,2,口快心直，身瘦多病，中年劳，晚年成功隆昌，出国之格。,1
娥,é,10,10,0,水,2,天生聪明，一生清雅伶俐，自尊心强，中年吉祥，晚年劳神。,1
恩,ēn,10,10,0,土,1,清雅伶俐，多才多能，中年吉祥，晚年劳神，双妻之格。,1
芳,fāng,10,7,3,木,1,英敏雅气，多才温和，出外吉庆，荣贵隆昌，环境良好。,2
纺,fǎng,10,7,3,水,3,肯做垦劳，重信义，中年吉祥，子孙鼎盛，晚年隆昌。,1
肥,féi,10,8,2,水,2,忧心劳神，事劳无功，中年多灾，晚年吉祥。,1
芬,fēn,10,7,3,木,1,带刀厄，幼年辛苦，少年艰难，中年吉祥，清雅伶俐，短寿之字。,1
纷,fēn,10,7,3,水,1,带刀厄，多刑克，刑偶伤子，中年多灾，晚年吉祥。,1
粉,fěn,10,10,0,木,3,带刀厄，有爱情厄，刑偶伤子，中年有灾，晚年吉祥。,1
峰,fēng,10,10,0,水,1,义利分明，清雅荣贵，出外逢贵，成功隆昌，英俊多才。,2
服,fú,10,8,2,水,2,忧心劳神，事劳无功，有才能理智，晚年成功吉昌。,1
俯,fǔ,10,10,0,水,3,清雅伶俐，刑偶欠子，中年吉祥，晚年劳神，环境良好。,1
釜,fǔ,10,10,0,水,3,一生福禄双收，名利有份，中年吉祥，晚年隆昌，环境良好。,2
刚,gāng,10,6,4,金,1,智勇双全，武官大吉，中年劳，晚年成功隆昌，清雅荣贵，二子吉祥。,1
高,gāo,10,10,0,木,1,一生清雅，福禄双收，中年劳，晚年吉祥。,1
哥,gē,10,10,0,木,1,福禄双收，口才伶俐，天生聪明，中年劳，晚年吉祥。,1
格,gé,10,10,0,木,2,一生多福少劳，清雅伶俐，中年吉祥，晚年劳神。,1
个,gè,10,3,7,土,4,性刚灵活，孤独之格，英雄豪杰，中年多灾，晚年荣幸。,1
根,gēn,10,10,0,木,1,英敏之才，特有人缘，上下敦睦，中年劳，晚年吉祥，父母无缘。,1
耕,gēng,10,10,0,木,1,清雅伶俐，理智充足，中年成功隆昌，环境良好，官运旺。,2
耿,gěng,10,10,0,火,3,一生清雅，缘和四海，中年劳或潦倒，晚年吉祥。,1
恭,gōng,10,10,0,木,1,幼年辛苦，身有暗病，中年吉祥，晚年劳神。,1
躬,gōng,10,10,0,木,1,身弱短寿，一生劳神，难得幸福，抱恨九泉。,1
贡,gòng,10,7,3,木,2,二子吉祥，多子短寿，中年吉祥，晚年劳神。,1
骨,gǔ,10,9,1,木,3,不祥之字，病弱短寿，困苦一生，多灾难。,1
挂,guà,10,9,1,木,4,智勇双全，清雅伶俐，中年成功隆昌，双妻之格，荣贵之字。,2
怪,guài,10,8,2,金,4,忧心劳神，病弱短寿，多灾难，刑偶伤子。,1
鬼,guǐ,10,9,1,木,3,不祥之字，多灾难，病弱短寿，一生困苦，难得幸福。,1
桂,guì,10,10,0,木,4,清雅伶俐，多才秀气，中年吉祥，成功隆昌，女人不幸。,1
害,hài,10,10,0,水,4,忌车怕水，福禄双收，刑偶欠子，中年劳苦，晚年吉祥。,1
航,háng,10,10,0,水,2,温和贤淑，一生清雅平凡，中年劳，晚年隆昌。,1
耗,hào,10,10,0,水,4,忧心劳神，清雅伶俐，中年劳，晚年吉祥。,1
核,hé,10,10,0,木,2,奔波劳苦，多愁少乐，中年多灾，晚年吉祥。,1
恒,héng,10,9,1,水,2,一生多福，清雅荣贵，中年成功隆昌。,2
烘,hōng,10,10,0,火,1,性刚果断，秀气巧妙，多才有能，中年吉祥，晚年劳神。,1
洪,hóng,10,9,1,水,4,一生清雅，温和伶俐，中年潦倒，晚年隆昌。,2
候,hòu,10,10,0,水,2,一生清雅多灾，中年劳苦或潦倒，晚年吉祥。,1
花,huā,10,7,3,木,1,虚荣心强，有爱情厄，中年吉祥，晚年劳神或疾病。,1
桓,huán,10,10,0,木,2,一生安享尊荣，多才廉正，中年成功隆昌，出国享福之字。,2
恢,huī,10,9,1,木,1,一生清雅平凡，晚年吉祥。,2
活,huó,10,9,1,水,4,福禄双收，秀气伶俐，中年成功隆昌，晚年劳神。,1
姬,jī,10,10,0,木,1,少年艰难，有爱情厄，中年多劳，晚年吉祥隆昌。,1
疾,jí,10,10,0,火,2,灾祸重重，难得成功，不祥之字，多灾难，恶死凶亡之字。,1
记,jì,10,5,5,木,4,过房之格，清雅秀气，中年吉祥，晚年忧心劳神。,1
家,jiā,10,10,0,木,1,出外吉祥，多才巧智，清雅伶俐，忌车怕水，晚年吉祥。,1
兼,jiān,10,10,0,木,1,英敏之才，特有人缘，上下敦睦，中年劳，晚年隆昌。,1
借,jiè,10,10,0,金,4,温和贤能，多才伶俐，中年劳，成功隆昌，迟见子吉祥。,1
津,jīn,10,9,1,水,1,秀气巧妙，理智充足，晚婚吉祥，中年成功隆昌。,2
晋,jìn,10,10,0,火,4,孤独格，晚婚吉祥，中年隆昌，环境良好，晚年劳神。,1
径,jìng,10,8,2,木,4,有爱情厄，刑偶伤子，身弱多病，中年劳，晚年吉祥。,1
酒,jiǔ,10,10,0,水,3,身弱短寿，多忧少乐，中年多灾，晚年吉祥。,1
矩,jǔ,10,9,1,木,3,多才巧智，清雅荣贵，中年成功隆昌，名利双收。,2
俱,jù,10,10,0,木,4,二子吉祥，多才伶俐，中年劳，晚年吉庆,1
娟,juān,10,10,0,木,1,有爱情厄，事劳无功，中年有灾，晚年吉祥，刑偶伤子。,1
峻,jùn,10,10,0,金,4,孤独格，英俊佳人，多才贤能，中年隆昌，出国之格。,1
库,kù,10,7,3,木,4,安稳守己，温和伶俐，中年有灾，晚年吉祥。,1
括,kuò,10,9,1,木,2,清雅平凡，福禄双收，晚婚迟得子大吉，中年多灾，晚年吉祥。,1
朗,lǎng,10,10,0,火,3,天生聪明，上下敦睦，多才巧智，中年成功隆昌，幸福之字。,2
栗,lì,10,10,0,木,4,秀气巧妙，多才清雅，中年劳或奔波，晚年吉祥。,1
凉,liáng,10,10,0,火,2,夫妻有刑，晚见子吉，中年劳，晚年吉祥。,1
料,liào,10,10,0,火,4,清雅伶俐，有爱情厄，中年劳，晚年隆昌，环境良好。,1
烈,liè,10,10,0,火,4,性刚口快，出外大吉，刑偶欠子，中年劳，晚年吉昌，官旺之字。,1
玲,líng,10,9,1,火,2,清秀巧妙，多才有能，中年成功隆昌，但有爱情厄，出国之字。,1
凌,líng,10,10,0,火,2,有爱情烦恼，清雅多才，中年成功隆昌，晚年吉祥。,1
留,liú,10,10,0,火,2,肯做肯劳，多才巧智，中年成功隆昌，出国之字。,1
伦,lún,10,6,4,火,2,学识渊博，官运旺盛，安富尊荣，出国之字，成功隆昌，孤独格。,1
洛,luò,10,9,1,水,2,天生聪明，多才巧智，中年成功隆昌，子孙兴旺，出国之字。,2
马,mǎ,10,3,7,水,3,清雅多才，中年劳或奔波，晚年吉祥。,1
埋,mái,10,10,0,土,2,有爱情厄，忧心劳神，怀才不遇，中年多灾，晚年吉祥。,1
秘,mì,10,10,0,水,4,一生向上，智勇双全，勤俭建业，家声克振，成功隆昌。,1
纳,nà,10,7,3,火,4,刑偶伤子，身弱多病，中年有灾，晚年吉祥。,1
能,néng,10,10,0,火,2,刑偶伤子，中年奔波或劳苦，晚年吉祥，有爱情厄。,1
倪,ní,10,10,0,金,2,出外吉祥，多才巧智，清雅伶俐，出国之字，成功隆昌，孤独格。,1
娘,niáng,10,10,0,火,2,温和贤淑，肯做肯劳，勤俭持家，中年吉祥，晚年隆昌。,1
纽,niǔ,10,7,3,水,3,有爱情烦恼，身弱短寿，中年劳，晚年吉祥。,1
派,pai,10,9,1,水,,性刚，英雄豪杰，出外逢贵，中年劳，晚年隆昌。,1
畔,pàn,10,10,0,水,4,刑偶伤子，奔波劳苦，中年吉祥，晚年劳神多病。,1
旁,páng,10,10,0,水,2,忧心劳神，事劳无功，中年劳苦，晚年吉祥。,1
配,pèi,10,10,0,水,4,忧心劳神，迟得子，二子吉祥，中年劳，晚年吉祥。,1
疲,pí,10,10,0,水,2,身弱短寿，怀才不遇，中年多灾，一生难得幸福。,1
破,pò,10,10,0,土,2,不祥之字，病弱短寿或困苦，难得幸福。,1
剖,pōu,10,10,0,金,1,福禄双收，二子吉祥，中年多劳，晚年吉祥。,1
圃,pǔ,10,10,0,水,3,精明公正，智勇双全，一生清雅荣贵，成功隆昌。,2
栖,qī,10,10,0,木,1,多才巧智，清雅荣贵，中年有灾，晚年成功隆昌。,1
起,qǐ,10,10,0,木,3,忧心劳神，暗淡无光，中年多灾，晚年吉祥。,1
岂,qǐ,10,6,4,木,3,英敏之才，多才巧智，清雅荣贵，中年吉祥，出国之字。,2
气,qì,10,4,6,木,4,有爱情厄，不幸而离乱，中年多灾，晚年吉祥。,1
洽,qià,10,9,1,水,4,福禄双收，多才伶俐，中年成功隆昌，双妻之格，名利之字。,2
窃,qiè,10,9,1,土,4,清雅秀气，中年劳，晚年吉祥。,1
秦,qín,10,10,0,火,2,清秀巧妙，多才巧智，中年成功隆昌，出国之字。,2
拳,quán,10,10,0,木,2,多灾难，病弱短寿，有牢狱之灾，中年劳苦，晚年享福。,1
缺,quē,10,10,0,木,1,多愁多劳，事劳无功，中年多灾，晚年享福。,1
容,róng,10,10,0,土,4,福禄双收，多才伶俐，二子吉祥，中年隆昌，晚年清闲。,2
弱,ruò,10,10,0,金,2,不祥之字，暗淡无光，病弱短寿，多灾难，难得幸福。,1
洒,sǎ,10,9,1,水,3,多才巧智，英俊佳人，中年成功隆昌，出国之格，荣贵之字。,2
桑,sāng,10,10,0,木,1,忧心劳神，事劳无功，中年有灾，晚年劳神，忌车怕水。,1
杀,shā,10,6,4,水,1,忧心劳神，多疾病，中年多灾，晚年隆昌。,1
纱,shā,10,7,3,水,1,小巧伶俐，清雅秀气，小心爱情厄，晚年吉祥，欠子之字。,1
珊,shān,10,9,1,金,1,秀气伶俐，多才巧智，中年成功隆昌，出国之字。,2
闪,shǎn,10,5,5,金,3,上下敦睦，温和多才，中年吉祥，环境良好，清雅享福。,2
射,shè,10,10,0,金,4,有破相之危，多刑克，命硬，中年多灾，晚年吉祥，但寿短。,1
娠,shēn,10,10,0,金,1,秀气多才，贤能温和，中年吉祥，晚年隆昌。,1
神,shén,10,9,1,金,2,清雅英敏，多才巧智，中年吉祥，晚年隆昌。,2
十,shí,10,2,8,金,2,温和贤淑，缘和四海，上下敦睦，成功隆昌。,2
拾,shí,10,9,1,金,2,福禄双收，多才贤能，清雅荣贵，成功隆昌，环境良好。,2
殊,shū,10,10,0,金,1,有爱情厄，忧心劳神，中年有灾，晚年吉祥，不幸之字。,1
书,shū,10,4,6,金,1,清雅荣贵，多才巧智，精明公正，义利分明，英俊成功。,2
恕,shù,10,10,0,火,4,怀才不遇，潦倒一生，清雅多才，无运之格，晚年吉祥。,1
栓,shuān,10,10,0,木,1,多才巧智，清雅伶俐，中年劳，晚年吉祥。,1
朔,shuò,10,10,0,火,2,英俊佳人，一生清雅多才，中年成功隆昌，出国之字，欠子之字。,1
素,sù,10,10,0,金,4,身弱多病，晚婚吉祥，中年幸福，晚年吉祥，多愁忌水之字。,1
孙,sūn,10,6,4,金,1,清雅伶俐，多才巧智，中年多灾或奔波，晚年吉祥。,1
笋,sǔn,10,10,0,木,3,晚婚迟得子大吉，小心爱情厄，中年劳，晚年吉祥。,1
索,suǒ,10,10,0,金,3,有爱情烦恼，暗淡无光，中年多舛，晚年享福。,1
泰,tài,10,10,0,火,4,多才巧智，清雅荣贵，中年成功隆昌，晚年倍加隆昌。,2
唐,táng,10,10,0,火,2,福禄双收，谋为出众，中年不利，有灾难，晚年吉祥。,1
桃,táo,10,10,0,木,2,刑偶欠子，有爱情厄，秀气多才，清雅伶俐，中年平，晚年吉祥。,1
讨,tǎo,10,5,5,火,3,口快性刚，出外吉祥，中年劳或潦倒，晚年吉祥。,1
特,tè,10,10,0,火,4,口快心直，刑偶伤子，中年吉祥，晚年多灾，忌车怕水。,1
恬,tián,10,9,1,火,2,口快心直，性刚果断，晚婚大吉，中年吉祥，晚年多病。,1
条,tiáo,10,7,3,火,2,英俊佳人，清雅多才，中年成功隆昌，环境良好。,2
桐,tóng,10,10,0,木,4,刑偶伤子，双妻之格，中年劳，晚年隆昌，荣华之字。,1
徒,tú,10,10,0,火,2,忧心劳神，事劳无功，中年多灾，晚年吉祥。,1
蚊,wén,10,10,0,水,2,清雅伶俐，肯做肯劳，重信义，中年离乱，晚年吉祥，刑偶伤子。,1
纹,wén,10,7,3,水,2,刑偶欠子，肯做肯劳，重信用，再嫁之字，晚年隆昌。,1
紊,wěn,10,10,0,金,3,英俊伶俐，克己助人，中年成功隆昌，清雅荣贵。,1
翁,wēng,10,10,0,土,1,多才有能，温和伶俐，中年苦中得甘，晚年吉祥。,2
务,wù,10,5,5,水,4,刑克父母，刑偶伤子，中年多灾，晚年吉祥，短寿之字。,1
息,xī,10,10,0,金,1,忧心劳神，刑偶伤子，中年劳或潦倒，晚年吉祥。,1
席,xí,10,10,0,金,2,聪明伶俐，清雅多才，中年有灾，晚年吉祥，环境良好。,1
洗,xǐ,10,9,1,水,3,出外吉祥，刑偶伤子，清雅多才，中年多灾，晚年隆昌。,1
峡,xiá,10,9,1,土,2,不详多灾，病弱短寿，一贫如洗，一生难幸福。,1
夏,xià,10,10,0,火,4,出外吉祥，小心爱情厄，多才贤能，秀气温和，中年劳，晚年隆昌。,1
校,xiào,10,10,0,木,4,暗路长行，出外吉祥，中年有灾，晚年吉祥。,1
笑,xiào,10,10,0,金,4,刑偶伤子，少年艰难，中年吉祥，晚年劳神。,1
效,xiào,10,10,0,水,4,多才巧智，清雅伶俐，中年成功隆昌，晚年吉祥，环境良好。,2
芯,xīn,10,7,3,木,1,有爱情厄，秀气伶俐，多才温和，晚婚吉，荣贵吉祥。,1
修,xiū,10,9,1,金,1,英秀伶俐，温和贤能，上下敦睦，中年成功，晚年隆昌。,2
徐,xú,10,10,0,金,2,一生清雅荣贵，多才巧智，中年成功隆昌，晚年劳神。,1
畜,chù,10,10,0,火,4,一生清雅伶俐，中年吉祥，晚年隆昌。,2
恤,xù,10,9,1,水,4,带血字，多刑克，多灾难，恶死凶亡，病弱短寿，难得幸福。,1
殉,xùn,10,10,0,金,4,暗淡无光，身弱短寿或欠子，中年吉祥，晚年多灾。,1
训,xùn,10,5,5,水,4,一生清雅平凡，晚婚大吉，双妻之格，多灾难，怀才不遇。,1
芽,yá,10,7,3,木,2,忧心劳神，有爱情厄，清雅秀气，中年吉祥，晚年劳神。,1
宴,yàn,10,10,0,土,4,子孙兴旺，秀气多才，中年劳或有灾，晚年吉祥。,1
洋,yáng,10,9,1,水,2,清雅伶俐，多能多才，中年吉祥隆昌，幸福之字。,2
倚,yǐ,10,10,0,木,3,福禄双收，中年有灾或有爱情厄，晚年享福。,1
殷,yīn,10,10,0,土,1,出外吉祥，清雅多才，中年劳或奔波，晚年隆昌。,1
育,yù,10,8,2,土,4,精明公正，义利分明，英俊人才，清雅荣贵，中年成功隆昌。,2
袁,yuán,10,10,0,土,2,出外吉祥，多才无运，中年劳苦，晚年隆昌。,1
原,yuán,10,10,0,木,2,清雅荣贵，多才巧智，中年吉祥，晚年隆昌。,2
员,yuán,10,7,3,土,2,二子吉祥，多才贤能，中年吉祥，福禄双收，晚年隆昌，欠子之字。,1
耘,yún,10,10,0,水,2,天生聪明，多才巧智，中年吉祥，晚年劳神。栽,1
宰,zǎi,10,10,0,金,3,身弱短寿，事劳无功，忌车怕水，中年有灾，晚年吉祥。,1
展,zhǎn,10,10,0,火,3,多才贤能，聪明伶俐，中年成功隆昌，出国之字。,2
珍,zhēn,10,9,1,火,1,口快多才，兄弟无靠，中年劳，成功隆昌，女人孤独，清秀伶俐。,1
真,zhēn,10,10,0,金,1,清雅多才，温和伶俐，中年成功隆昌，荣贵清闲，二子吉祥。,2
砧,zhēn,10,10,0,土,1,忧心劳神，多刑克，一生多灾，难得幸福，不祥之字。,1
针,zhēn,10,7,3,金,1,刑偶伤子，晚婚迟得子大吉，中年多灾，晚年吉祥。,1
值,zhí,10,10,0,火,2,义利分明，名利双收，温和贤能，成功隆昌，环境良好。,2
指,zhǐ,10,9,1,金,3,晚婚吉祥，忧心劳神，身弱多劳，晚年吉祥。,1
纸,zhǐ,10,7,3,金,3,忧心劳神，事劳无功，中年劳苦，晚年吉祥。,1
致,zhì,10,10,0,火,4,理智充足，清雅荣贵，中年奔波劳苦，晚年吉祥。,1
秩,zhì,10,10,0,火,4,病弱短寿，忧心劳神，中年吉祥，晚年多病。,1
洲,zhōu,10,9,1,水,1,克父命，刑偶伤子，中年奔波劳苦，身有暗疾，晚年隆昌。,1
株,zhū,10,10,0,木,1,病弱短寿，贤能温和，中年有灾，二子吉祥。,1
准,zhǔn,10,10,0,土,3,多才巧智，清雅伶俐，二子吉祥，中年成功隆昌。,2
酌,zhuó,10,10,0,金,4,一生清雅伶俐，多才巧智，中年劳，晚年吉祥，福禄之字。,1
租,zū,10,10,0,金,1,一生清雅多才，中年吉祥，环境良好，福寿兴家。,2
祖,zǔ,10,9,1,金,3,清雅荣贵，官格之字，中年吉祥隆昌，晚年劳神，忌车怕水。,1
座,zuò,10,10,0,金,2,清雅温和，多才伶俐，中年多灾或奔波，晚年吉祥。,1
俸,fèng,10,10,0,水,4,刑克父母，清雅伶俐，中年多灾，晚年隆昌。,1
倩,qiàn,10,10,0,金,4,刑偶欠子，身弱多忧，一生清雅，中年吉祥，晚年劳神。,1
倬,zhuō,10,10,0,火,1,怀才不遇，出外吉祥，一生多灾，难得成功，晚年吉祥。,1
讪,shàn,10,5,5,金,4,一生清雅多才，兄弟无缘，中年吉祥，晚年隆昌，环境良好。,1
芙,fú,10,7,3,木,2,秀气灵巧，清雅伶俐，中年劳，晚年吉祥，环境良好。,1
芸,yún,10,7,3,木,2,温和贤淑，多才能干，中年成功隆昌，清雅荣贵，出国之格。,2
奚,xī,10,10,0,木,1,福禄双收，清雅荣贵，中年吉祥，晚年隆昌，劳神之字。,1
狩,shòu,10,9,1,金,2,刑偶伤子，清雅伶俐，中年奔波，晚年吉祥。,1
宸,chén,10,10,0,金,2,一生清雅荣贵，温和贤能，中年成功隆昌，环境良好。,2
屐,jī,10,10,0,,1,刑偶伤子，有爱情厄，中年多劳，晚年吉祥，出外大吉。,1
娌,lǐ,10,10,0,火,3,清雅伶俐，子孙兴旺，中年成功隆昌，荣贵幸福，环境良好。,2
娑,suō,10,10,0,,1,多相克，事劳无功，中年有灾，晚年难得幸福。,1
娣,dì,10,10,0,火,4,清雅多才，英敏伶俐，福禄双收，成功隆昌，出国之字。,2
纭,yún,10,7,3,木,2,多才巧智，清雅伶俐，中年成功隆昌，出国之格。,2
玳,dài,10,9,1,火,4,秀气巧妙，清雅伶俐，出外吉祥，中年劳，晚年隆昌，一生多福。,1
珀,pò,10,9,1,水,2,学识丰富，温和贤能，英俊才人，成功隆昌，忌车怕水，女人有爱情厄。,1
晁,cháo,10,10,0,金,2,天生聪明，智勇双全，中年成功隆昌，出国之字，忌车怕水。,1
晏,yàn,10,10,0,土,4,英敏之才，上下敦睦，出外贵人明现，官运旺，成功隆昌。,2
耄,mào,10,10,0,火,4,孤独怪性，刑偶伤子，病弱短寿，难得幸福。,1
朕,zhèn,10,10,0,火,4,刑偶伤子，出外吉祥，中年劳，晚年隆昌但劳神。,1
旃,zhān,10,10,0,火,1,口快心直，多才有能，中年吉祥，晚年隆昌，环境良好。,2
祜,hù,10,9,1,水,4,温和伶俐，福禄双收，中年多灾或潦倒，晚年吉祥。,1
祚,zuò,10,9,1,金,2,刑偶伤子，肯做肯劳，勤俭持家，中年劳，晚年吉祥。,1
祠,cí,10,9,1,金,2,多才巧智，清雅荣贵，智勇双全，中年成功隆昌，幸福之字。,2
罡,gāng,10,10,0,金,1,精明公正，义利分明，重意气，清雅荣贵，官旺，成功隆昌。,2
钊,zhāo,10,7,3,金,1,带刀厄，礼诚待人，安稳守己，中年劳苦，晚年隆昌。,1
衲,nà,10,9,1,火,4,温和贤淑，具有美德，中年劳或潦倒，晚年吉祥。,1
虔,qián,10,10,0,木,2,忧心劳神，事劳无功，中年多灾，晚年吉祥，不幸之字。,1
笈,jí,10,9,1,木,2,出外逢贵，清雅伶俐，中年多灾，事劳无功，晚年吉祥。,1
笏,hù,10,10,0,木,4,不祥之字，多灾难，暗淡无光，中年潦倒，晚年享福。,1
衾,qīn,10,10,0,,1,温和慈祥，清雅伶俐，中年劳且奔波，晚年吉祥。,1
隼,sǔn,10,10,0,金,3,秀气巧妙，少年艰难，中年吉祥，先苦后甘，晚年隆昌。,1
挨,āi ,11,10,1,土,1,,
捌,bā ,11,10,1,水,1,,
败,bài,11,8,3,水,4,生在富家，败散或恶死凶亡，不幸之字，暗淡多灾。,1
绊,bàn,11,8,3,水,4,有爱情厄，多才巧智，清雅伶俐，中年有灾，晚年吉祥。,1
邦,bāng,11,5,6,水,1,孤独格，兄弟无缘，多才伶俐，英敏巧智，中年隆昌，晚年劳神，欠子之字。,1
苞,bāo ,11,8,3,木,1,,
胞,bāo ,11,9,2,水,1,刑偶伤子，身弱多病，清雅伶俐，晚年吉祥。,1
狈,bèi ,11,7,4,,4,,
被,bèi ,11,10,1,水,4,口快性刚，事劳无功，身弱短寿，一生幸福。,1
苯,běn ,11,8,3,木,3,,
笨,bèn ,11,11,0,木,4,,
崩,bēng,11,11,0,土,1,刑偶伤子，刑克父母，一生多灾，难得幸福，病弱短寿。,1
逼,bī ,11,12,-1,水,1,,
闭,bì ,11,6,5,水,4,,
贬,biǎn ,11,8,3,,3,,
彪,biāo,11,11,0,水,1,智勇双全，清雅多才，中年劳，晚年吉祥，武官大吉。,1
彬,bīn,11,11,0,木,1,清雅荣贵，多才巧智，智勇双全，阴藏不露，不祥之格。,1
斌,bīn,11,12,-1,水,1,多才伶俐，清雅荣贵，成功隆昌，忌车怕水，短寿之字。,1
舶,bó ,11,11,0,水,4,,
捕,bǔ ,11,10,1,水,3,贫苦渐进，白手成家，中年吉祥，晚年劳神。,1
埠,bù ,11,11,0,土,4,,
彩,cǎi,11,11,0,金,3,清雅伶俐，多才巧智，中年平凡，晚年吉祥，双妻之格。,2
参,cān,11,8,3,金,1,肯做肯劳，重信义，三子吉祥，出外吉，中年劳，晚年吉祥。,1
曹,cáo,11,11,0,金,2,一生清雅多才，晚婚大吉，中年劳，晚年隆昌。,1
侧,cè,11,8,3,金,4,重信用，一生清雅，中年多劳或奔波，晚年吉祥。,1
茬,chá ,11,9,2,木,2,,
产,chǎn,11,6,5,金,3,幼年辛苦，中年吉祥，晚年隆昌，环境良好，清荣之字。,1
常,cháng,11,11,0,金,2,机谋多变，心性易动，中年吉祥，晚年劳神。,1
唱,chàng,11,11,0,金,4,一生身弱短寿，刑偶伤子，中年吉祥，晚年隆昌。,1
巢,cháo,11,11,0,金,2,早成功，早失败，中年成功，晚年劳苦，一生保守。,1
晨,chén,11,11,0,金,2,天生聪明，清雅荣贵，中年成功隆昌，出国之格，幸福之字。,2
趁,chèn ,11,12,-1,木,4,,
匙,shi ,11,11,0,金,,清雅秀气，多才伶俐，中年吉祥，晚年劳神。,1
崇,chóng,11,11,0,金,4,英俊多才，清雅荣贵，中年小心爱情厄，成功，环境良好。,1
处,chǔ ,11,5,6,金,3,出外大吉，性格多变，中年劳，晚年吉祥。,1
船,chuán,11,11,0,金,2,奔波劳苦，刑偶伤子，中年奔波，晚年吉祥。,1
唇,chún ,11,10,1,水,2,,
疵,cī ,11,11,0,金,1,,
瓷,cí ,11,10,1,金,2,,
从,cóng,11,4,7,火,4,离祖成功，清雅多才，中年成功隆昌，环境良好，福寿兴家。,1
凑,còu ,11,11,0,火,2,,
粗,cū ,11,11,0,金,1,秀气巧妙，多才伶俐，中年劳，晚年吉祥。,1
崔,cuī ,11,11,0,木,1,一生清雅，理智充足，中年劳苦，晚年吉祥。,1
挫,cuò ,11,10,1,,2,,
带,dài,11,9,2,火,4,身犯破，身弱多病，中年有爱情烦恼，再嫁守寡，晚年吉祥。,1
袋,dài,11,11,0,火,4,奔波劳苦，身弱多病，孤寡一生，中年困苦，晚年享福。,1
胆,dǎn ,11,9,2,火,3,,
蛋,dàn ,11,11,0,火,4,,
盗,dào ,11,11,0,火,4,不祥之字，忧心劳神，一生潦倒，晚年享福。,1
得,dé ,11,11,0,金,2,晚婚迟得子大吉，中年多劳，晚年吉祥。,1
笛,dí,11,11,0,木,2,清雅多才，理智充足，中年吉祥，晚年吉昌，荣贵之字。,2
钓,diào,11,8,3,金,4,学识丰富，操守廉正，官运旺，中年成功隆昌，出国之字。,2
顶,dǐng,11,8,3,火,3,身弱短寿，刑偶欠子，中年劳苦，晚年吉祥。,1
动,dòng,11,6,5,火,2,清雅多才，刑偶伤子，口快心直，中年劳，晚年隆昌，双妻之格。,1
兜,dōu ,11,11,0,木,1,,
堆,duī ,11,11,0,土,1,,
舵,duò ,11,11,0,火,2,,
讹,é ,11,6,5,,2,忧心劳神，身弱多病，中年奔波，晚年吉祥。,1
钒,fán,11,8,3,金,2,英俊清秀，有爱情厄，中年劳，晚年吉祥隆昌。,1
返,fǎn ,11,7,4,水,3,,
贩,fàn,11,8,3,水,4,一贫如洗，潦倒一生，中年多灾，难得幸福，忧心劳神。,1
访,fǎng,11,6,5,水,3,勤俭建业，家声克振，福禄双收，环境良好，晚年劳神。,1
酚,fēn ,11,11,0,水,1,,
烽,fēng,11,11,0,火,1,多才巧智，温和贤能，工程界大吉，中年平凡，晚年成功隆昌。,2
符,fú ,11,11,0,木,2,刑偶伤子，清雅身瘦，中年奔波，晚年吉祥。,1
浮,fú ,11,10,1,水,2,虚荣心强，清雅伶俐，中年多劳，晚年享福。,1
副,fù,11,11,0,金,4,多才巧智，内心多忧，怀才不遇，中年劳，晚年隆昌。,1
妇,fù ,11,6,5,水,4,秀气温和，暗淡之字，中年有灾，晚年吉祥。,1
敢,gǎn,11,11,0,木,3,性刚口快，意志坚强，抱负大，中年多灾，晚年吉祥。,1
